Time,Price_NO_1,Price_NO_2,Price_NO_3,Price_NO_4,Price_NO_5
2024-04-22 00:00:00,0.9522296875000001,0.9522296875000001,0.9522296875000001,0.39495105,0.9522296875000001
2024-04-22 01:00:00,0.9507590625000002,0.9507590625000002,0.9507590625000002,0.39353925000000006,0.9507590625000002
2024-04-22 02:00:00,0.9492884375,0.9492884375,0.9492884375,0.39330395000000007,0.9492884375
2024-04-22 03:00:00,0.946788375,0.946788375,0.946788375,0.39424515000000004,0.946788375
2024-04-22 04:00:00,0.951494375,0.951494375,0.951494375,0.39848055,0.951494375
2024-04-22 05:00:00,0.95355325,0.95355325,0.95355325,0.3950687,0.95355325
2024-04-22 06:00:00,0.9650241250000001,0.9650241250000001,0.9650241250000001,0.4496583,0.9650241250000001
2024-04-22 07:00:00,1.1022334375,1.1022334375,1.1022334375,0.4496583,1.1022334375
2024-04-22 08:00:00,1.673865375,1.673865375,1.673865375,0.39424515000000004,1.673865375
2024-04-22 09:00:00,1.3829757500000004,1.3829757500000004,1.3829757500000004,0.39118625,1.3829757500000004
2024-04-22 10:00:00,1.16649975,1.16649975,1.16649975,0.4496583,1.16649975
2024-04-22 11:00:00,1.0975274375,1.0975274375,1.1031158125,0.4496583,1.0975274375
2024-04-22 12:00:00,1.0378200624999998,1.0378200624999998,1.1157631875000003,0.4496583,1.0378200624999998
2024-04-22 13:00:00,1.035025875,1.035025875,1.0553205,0.4496583,1.035025875
2024-04-22 14:00:00,0.9763479375,0.9763479375,0.9763479375,0.49965955,0.9763479375
2024-04-22 15:00:00,0.9722301875000001,0.9722301875000001,0.9722301875000001,0.49895364999999997,0.9722301875000001
2024-04-22 16:00:00,0.9928189375,0.9928189375,0.955023875,0.49965955,0.9928189375
2024-04-22 17:00:00,1.0210549375000002,1.0210549375000002,0.9523767500000001,0.5474254500000001,1.0210549375000002
2024-04-22 18:00:00,1.0078193125,1.0078193125,0.957671,0.548249,1.0078193125
2024-04-22 19:00:00,1.0001720625000001,1.0001720625000001,0.946788375,0.5487196,1.0001720625000001
2024-04-22 20:00:00,1.0131135625,1.0131135625,0.9539944375000002,0.5496608,1.0131135625
2024-04-22 21:00:00,0.9954660625,0.9954660625,0.9397293750000001,0.54389595,0.9954660625
2024-04-22 22:00:00,0.986789375,0.986789375,0.8675216875000001,0.54201355,0.986789375
2024-04-22 23:00:00,0.9737008125000001,0.9737008125000001,0.8095790624999999,0.5504843500000001,0.9737008125000001
